F;S;V;D;width;heigth
3.6;22.5;17.5;9;8.95;2.88
5.2;22.5;17.5;9;10.72;3.35
3.6;37.5;17.5;9;7.19;2.45
5.2;37.5;17.5;9;8.29;2.75
3.6;22.5;20.5;9;10.25;2.66
5.2;22.5;20.5;9;11.5;3.26
3.6;37.5;20.5;9;8.36;2.17
5.2;37.5;20.5;9;9.35;2.58
3.6;22.5;17.5;15;8.36;3
5.2;22.5;17.5;15;9.52;3.56
3.6;37.5;17.5;15;6.83;2.45
5.2;37.5;17.5;15;7.98;2.9
3.6;22.5;20.5;15;9.92;2.79
5.2;22.5;20.5;15;11.12;3.35
3.6;37.5;20.5;15;7.91;2.26
5.2;37.5;20.5;15;9.25;2.7
2.8;30;19;12;7.39;2.32
6;30;19;12;9.9;3.28
4.4;15;19;12;11.76;3.8
4.4;45;19;12;7.54;2.34
4.4;30;16;12;8.08;2.94
4.4;30;22;12;9.9;2.45
4.4;30;19;6;9.51;2.77
4.4;30;19;18;8.58;2.83
4.4;30;19;12;8.88;2.75
4.4;30;19;12;9.09;2.83
4.4;30;19;12;8.92;2.79
4.4;30;19;12;8.91;2.75
4.4;30;19;12;8.92;2.83
4.4;30;19;12;9.02;2.81
4.4;30;19;12;8.8;2.8
4;21;17;12;8.798;3.346
4;27;17;12;7.899;2.961
4;30;17;12;7.954;2.854
4;36;17;12;7.249;2.662
4;39;17;12;7.193;2.533
5.2;27;18.9;12;10.002;3.218
5.2;30;18.9;12;9.116;3.047
6;27;20.3;12;11.233;3.304
5.2;22.5;19;12;10.61;3.411
5.2;37.5;19;12;8.494;2.79
4.4;37.5;17.5;12;7.788;2.811
6;37.5;20.5;12;9.849;2.876

