dataset,correlation_type,column_pair,value
guo-reduced-1000,XiCor,"('yield-strength', 'tensile-strength')",0.7938042111915874
guo-reduced-1000,Pearson,"('yield-strength', 'tensile-strength')",0.9397715432157768
guo-reduced-1000,Spearman,"('yield-strength', 'tensile-strength')",0.9716249353024172
guo-reduced-1000,XiCor,"('yield-strength', 'elongation')",0.5176359298999855
guo-reduced-1000,Pearson,"('yield-strength', 'elongation')",-0.846549195679801
guo-reduced-1000,Spearman,"('yield-strength', 'elongation')",-0.8510024995846777
guo-reduced-1000,XiCor,"('tensile-strength', 'elongation')",0.5373566923316297
guo-reduced-1000,Pearson,"('tensile-strength', 'elongation')",-0.8351624969815723
guo-reduced-1000,Spearman,"('tensile-strength', 'elongation')",-0.8552889783365084
hu,XiCor,"('tensile-strength', 'yield-strength')",0.7437939515219791
hu,Pearson,"('tensile-strength', 'yield-strength')",0.9428651627655709
hu,Spearman,"('tensile-strength', 'yield-strength')",0.9422315061504518
hu,XiCor,"('tensile-strength', 'elongation')",0.21347237313505096
hu,Pearson,"('tensile-strength', 'elongation')",-0.18294277449167984
hu,Spearman,"('tensile-strength', 'elongation')",-0.09081675912670246
hu,XiCor,"('yield-strength', 'elongation')",0.21600948579116708
hu,Pearson,"('yield-strength', 'elongation')",-0.32094960055757255
hu,Spearman,"('yield-strength', 'elongation')",-0.26316741157575363
huang,XiCor,"('compressive-strength', 'flexural-strength')",0.33478033748132185
huang,Pearson,"('compressive-strength', 'flexural-strength')",0.5102587328302429
huang,Spearman,"('compressive-strength', 'flexural-strength')",0.612958320253716
xiong,XiCor,"('width', 'heigth')",0.25584357207072217
xiong,Pearson,"('width', 'heigth')",0.690185420120399
xiong,Spearman,"('width', 'heigth')",0.5609793742282585
yin,XiCor,"('pullout-force', 'ifss')",0.6829906124054628
yin,Pearson,"('pullout-force', 'ifss')",-0.47301254349083666
yin,Spearman,"('pullout-force', 'ifss')",-0.4074546257684159
